date,price,action,reward,portfolio_value,cash,shares
2025-09-25,1377.6,1,0.002446029836977223,109280.44884951113,5346.0414991492435,75.44599836698744
2025-09-26,1372.8,0,-0.003319369274207817,108918.3080573496,5346.0414991492435,75.44599836698744
2025-09-29,1364.0,0,-0.006114275693986962,108254.38327172011,5346.0414991492435,75.44599836698744
2025-09-30,1368.7,0,0.003270229732377942,108608.97946404495,5346.0414991492435,75.44599836698744
2025-10-01,1363.4,0,-0.003688476687646051,108209.11567269992,5346.0414991492435,75.44599836698744
2025-10-03,1375.0,0,0.008055268070888359,109084.28925375697,5346.0414991492435,75.44599836698744
2025-10-06,1384.8,0,0.006755109606000913,109823.66003775345,5346.0414991492435,75.44599836698744
2025-10-07,1367.4,2,-0.0011517743804018508,109719.18241921485,109719.18241921485,0.0
2025-10-08,1377.8,1,0.006055782976100308,110407.71321690666,5381.725897662487,76.22730971058512
2025-10-09,1381.7,1,0.002489005829198403,110704.99972477795,5381.725897662487,76.22730971058512
2025-10-10,1375.0,1,-0.004824043077236448,110194.27674971703,5381.725897662487,76.22730971058512
2025-10-13,1375.9,1,0.0004223846987066474,110262.88132845655,5381.725897662487,76.22730971058512
2025-10-14,1374.3,0,-0.0011067296349756485,110140.9176329196,5381.725897662487,76.22730971058512
2025-10-15,1398.3,1,0.016273694791870373,111970.37306597366,5381.725897662487,76.22730971058512
2025-10-16,1416.8,0,0.012515799286142807,113380.57829561947,5381.725897662487,76.22730971058512
2025-10-17,1466.8,1,0.032863026320229416,117191.94378114873,5381.725897662487,76.22730971058512
2025-10-20,1465.2,1,-0.001241259326683588,117069.98008561181,5381.725897662487,76.22730971058512
2025-10-21,1448.4,2,-0.0011544852145635766,116958.29183142386,116958.29183142386,0.0
2025-10-23,1451.6,1,0.0009482082726131354,117092.66143703923,5736.8042143313505,76.71249464226226
2025-10-24,1484.1,1,0.02086865237415426,119585.81751291276,5736.8042143313505,76.71249464226226
2025-10-27,1486.9,1,0.001594546521558309,119800.6124979111,5736.8042143313505,76.71249464226226
2025-10-28,1504.2,1,0.010816881773302318,121127.73865522225,5736.8042143313505,76.71249464226226
2025-10-29,1488.5,2,-0.0011530924425016606,121012.34772078136,121012.34772078136,0.0
2025-10-30,1486.4,2,-0.0002,121012.34772078136,121012.34772078136,0.0
2025-10-31,1484.7,2,-0.0002,121012.34772078136,121012.34772078136,0.0
2025-11-03,1473.1,2,-0.0002,121012.34772078136,121012.34772078136,0.0
2025-11-04,1496.1,1,0.013587184279112033,122692.32170268547,5935.655655704322,78.04068314082024
2025-11-06,1478.0,2,-0.0011520747001872117,122575.5650366385,122575.5650366385,0.0
