trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol,return_1d,return_5d,return_20d,sma_20,sma_50,sma_200,price_sma20,price_sma50,price_sma200,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,volatility_20,volume_sma20,volume_ratio,daily_range,close_position,sma20_sma50,sma50_sma200,future_return_1d
2020-10-19,617.5,617.5,596.3,601.78,,42359556,,,,,300.89,0.5,HDFCBANK,0.06817041591814364,-0.15559237519764835,0.7613616257876322,-1.2330383316747515,-1.3182156791933315,-1.542935018563593,0.7572866243390711,0.5808942814865412,0.2492946947414911,-1.1343965594773797,-1.2383819727439886,0.3886243887397622,0.3145107383918467,0.29181599138407427,1.2569443797468118,-0.04349646754896699,22883445.0,1.4441042727301052,1.9481603899766726,1.3265232093305825,0.19539772314454312,-0.13111567430722623,0.0169330984745257
2020-10-20,603.75,613.7,602.95,611.97,,27411978,,,,,305.985,0.5,HDFCBANK,0.42669264730192313,0.1985790791925075,0.940374452287464,-1.2139400862771512,-1.3103162709183656,-1.5437180434138147,0.8756096427889893,0.6949119487563801,0.33547401528119714,-1.1175422795430363,-1.224377669552463,0.4085939934108526,0.3393161167437822,0.2824366353082835,1.3116924605524298,-0.04924167517016337,23261900.0,0.2758973204735131,-0.05604604508647503,0.37181951820635417,0.25867333571113843,-0.10874792998928864,0.0185956827949083
2020-10-21,615.3,625.5,610.85,623.35,,35640752,,,,,311.675,0.5,HDFCBANK,0.47112766854882304,0.29163686010659273,1.1801576457935088,-1.1908327840983095,-1.3021086908986017,-1.5442919178283752,0.9962406845096718,0.8234743257461408,0.43125986971711994,-1.0956403247903077,-1.2076098306382068,0.4429241053493078,0.36654543847494886,0.30977644925897363,1.3405237751067773,-0.0669444319151596,24112903.7,0.7963095892760181,0.6175024656780915,0.8741397716344977,0.3421287725093655,-0.0860142700696804,-0.0107483757118794
2020-10-22,619.97,625.0,611.5,616.65,,21913060,,,,,308.325,0.5,HDFCBANK,-0.31313563000034583,0.5995409078722097,1.0119269285335384,-1.1704856726766555,-1.2943770447568992,-1.5447947383963,0.7489926201186817,0.7060357905710812,0.37627140399718556,-1.081606345689692,-1.1943218370949618,0.45002133009198997,0.38985563541779833,0.2655723876128963,1.0284356628122577,-0.04932564516912316,24404565.3,-0.2112191306839023,0.43486264783816364,0.7321634494927987,0.4123867541092788,-0.06467311394645497,0.0020270818130219
2020-10-23,621.75,624.22,615.6,617.9,,15866230,,,,,308.95,0.5,HDFCBANK,0.02830733899578949,0.30773229048643763,1.1499902097070056,-1.1480235814909758,-1.2863199036066375,-1.5448683708099504,0.6608626654381532,0.6964246081988553,0.3868132952975096,-1.0688921783282648,-1.1816006424986127,0.4524512302970523,0.4090265078218059,0.21888467875669163,1.0014559573731183,-0.07611743682476314,24207401.3,-0.632311240091288,-0.46633079530770577,-0.18255499355387902,0.4920950594439177,-0.043407334316254695,-0.0201488914063763
2020-10-26,614.9,621.0,602.3,605.45,,19571976,,,,,302.725,0.5,HDFCBANK,-0.5643782945051214,0.0169550064979527,0.8985289771499114,-1.1297717654301678,-1.2782755269665151,-1.5455803418135363,0.3116830293076826,0.5010880206354387,0.28421953491072854,-1.0664930859220003,-1.1739800274494803,0.42233215954086684,0.4178840567200981,0.10256003673927419,0.5012027143397964,-0.03935672343479342,24169922.9,-0.36428824159856804,1.455386177466628,1.1810800349223292,0.5482040340552026,-0.020778559773907027,0.0183334709720042
2020-10-27,613.0,618.0,598.92,616.55,,24317780,,,,,308.275,0.5,HDFCBANK,0.4641196703504214,0.03353252385393575,0.9611885444835402,-1.1102076558239453,-1.26914251996163,-1.545927015823331,0.44498951524360925,0.6218707372471793,0.3773379317223982,-1.0570104383739978,-1.163216530188423,0.4166725146709024,0.42375260533786513,0.0688469094986356,0.5306993082969698,-0.03459392416378639,24578190.8,-0.05232524649378324,1.462225971718211,1.2359684907580095,0.6051318768683106,0.003911919825324576,-0.0190576595572135
2020-10-28,614.0,616.0,600.75,604.8,,16571186,,,,,302.4,0.5,HDFCBANK,-0.5352135118180789,-0.41209051799394164,0.7616755701688499,-1.0941276855807986,-1.2621630681674398,-1.546812323831814,0.12694886435166944,0.44087696509671104,0.2808297205601765,-1.0568757221843696,-1.1571747996093258,0.3820980466175852,0.42100985982623973,-0.028280433239438532,0.0373179220632327,-0.004408309094321354,24774527.8,-0.6089519040975975,0.8118684408898802,0.9339432528981465,0.654537489805877,0.024149981980531896,-0.0185185185185183
2020-10-29,600.3,602.22,589.25,593.6,,23060024,,,,,296.8,0.5,HDFCBANK,-0.5208041713619005,-0.5032768643770916,0.5215372616309288,-1.0822514289947964,-1.2566652113001682,-1.5481803968869943,-0.1566839853456435,0.27284336235153445,0.18963523849265126,-1.064281518801028,-1.155321376593934,0.3264223214123008,0.40683882244480857,-0.1571808754576046,-0.6066731931279146,0.016658259220794593,24986836.9,-0.16784094587145093,0.4300113756490752,0.725832747336712,0.6889548400236953,0.04158120327362416,-0.0030660377358491
2020-10-30,591.28,599.65,588.17,591.78,,11522716,,,,,295.89,0.5,HDFCBANK,-0.10781380240593161,-0.5618215306803471,0.3210760043010679,-1.073872434707324,-1.2509868277894938,-1.5496478880259754,-0.23205201844544365,0.23086576458299785,0.17681872412426786,-1.0717699275183274,-1.1542131196166283,0.2746114850406119,0.3843565580514944,-0.25092374179424287,-0.45965602438261505,-0.001158939338580143,24502818.7,-0.9538759637560728,0.15193413167850234,0.5227789189751845,0.7031845865754505,0.05972190717007841,0.0267667038426442
