trade_date,open,high,low,close,volume,symbol,return_1d,return_5d,return_20d,sma_20,sma_50,sma_200,price_sma20,price_sma50,price_sma200,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,volatility_20,volume_sma20,volume_ratio,daily_range,close_position,sma20_sma50,sma50_sma200,future_return_1d
2022-06-24,1772.0985082102557,1798.790210105398,1750.2153687053278,1767.829833984375,440158,DEEPAKNTR,0.0020859517866005373,-0.02444961834668158,-0.04996692085835863,1831.5658142089844,1970.0080346679688,2213.317399902344,0.9652013704721085,0.8973718903041583,0.7987240483729877,1786.685883106081,1845.0745096292603,-58.388626523179255,-61.286103336214374,2.8974768130351194,37.727226986192065,0.02570461999111939,1149870.6,0.38278915905841926,0.02747710241465444,0.362625276199496,0.9297250478055447,0.8900702785578289,0.00707737613607784
2022-06-27,1795.797061108025,1806.5914696720624,1775.1895538494084,1780.3414306640625,409729,DEEPAKNTR,0.00707737613607784,0.034556513967114455,-0.08657239423317509,1823.1289978027344,1960.524658203125,2210.6416119384767,0.9765306968457854,0.9080943834166282,0.8053505466690773,1785.7098134996168,1840.2794667429494,-54.569653243332596,-59.94281331763803,5.3731600743054315,40.87563139137008,0.02304597531969235,1146500.1,0.35737371501319537,0.017638142483119762,0.16406249999999722,0.9299189327583783,0.8868577555110672,-0.010086902193875313
2022-06-28,1780.0959907213105,1780.0959907213105,1755.3179180831005,1762.38330078125,340584,DEEPAKNTR,-0.010086902193875313,0.008705679047227521,-0.10067608241956483,1813.2643737792969,1951.238515625,2207.8453692626954,0.9719395176269867,0.9032126450295812,0.7982367448902428,1782.1211192352525,1834.5093803754162,-52.38826114016365,-58.431902882143156,6.043641741979506,49.6338282302967,0.02296340354418309,1144931.2,0.29747114935814484,0.014059411835794228,0.2851465810643421,0.9292889409773112,0.8837749884071869,-0.0005009889562168635
2022-06-29,1746.7316044488118,1774.8461567590775,1735.0539927983873,1761.5003662109375,706137,DEEPAKNTR,-0.0005009889562168635,0.00834193346284362,-0.10818260469786223,1802.5803649902343,1943.0671508789062,2205.0712060546875,0.9772104481014252,0.9065566084085973,0.7988405822787978,1778.9486956930502,1829.1013052521214,-50.15260955907115,-56.776044217528764,6.623434658457612,51.5045600922265,0.02279010843893633,1158446.45,0.6095551503481236,0.02258992658984504,0.6646125965573516,0.927698440156777,0.8811811362570197,-0.03267318821602816
2022-06-30,1766.161604780188,1792.8531861272054,1697.666125889472,1703.946533203125,1031463,DEEPAKNTR,-0.03267318821602816,-0.03412599408964179,-0.15123663790540198,1787.3995056152344,1933.5808325195312,2202.008048095703,0.9533103975076997,0.8812388417104943,0.7738148526190439,1767.409901463831,1819.8305813966401,-52.42067993280921,-55.90497136058485,3.484291427775645,31.684400339614115,0.022954290473056933,1193336.5,0.8643521756017687,0.055862703660541656,0.06597963313466682,0.9243986470874265,0.8780988944121673,-0.007745905250692631
2022-07-01,1708.460617258707,1723.1311530468113,1649.729240904618,1690.7479248046875,894640,DEEPAKNTR,-0.007745905250692631,-0.043602561568925724,-0.12009083822190925,1775.8617614746095,1922.435107421875,2198.550647583008,0.9520718118288405,0.8794824430105748,0.7690284172727261,1755.615751208578,1810.2689031305695,-54.653151921991366,-55.65460747286616,1.0014555508747947,32.921285295279276,0.0214322330083383,1068104.35,0.8375960644669221,0.043413870906079885,0.558823097422974,0.92375641425742,0.8744101981618289,0.010795411349119988
2022-07-04,1712.3857152610071,1741.5305703502152,1674.1146305073228,1709.000244140625,1172209,DEEPAKNTR,0.010795411349119988,-0.04007163193232399,-0.08505605874826638,1767.9180603027344,1911.8997607421875,2195.068961791992,0.966673898816317,0.8938754422340646,0.7785633498937754,1748.4441347365853,1802.7675209831662,-54.32338624658087,-55.388363227609105,1.064976981028238,38.06798619832029,0.021109566778525404,1055064.7,1.1110304420193378,0.03944758935759699,0.5174683274400749,0.9246918152322168,0.8709975832291696,-0.012603811536035736
2022-07-05,1707.4790712519086,1732.0118165285164,1680.2968374009452,1687.4603271484375,647551,DEEPAKNTR,-0.012603811536035736,-0.042512303424345754,-0.09011071106518265,1759.5621948242188,1901.3604858398437,2191.4776123046877,0.959022836539754,0.8875015231017989,0.7700102970131665,1739.062010492255,1794.2262473657788,-55.164236873523805,-55.34353795679205,0.17930108326824268,27.99267383531496,0.02118470265336147,1048864.75,0.6173827464408542,0.030646634054480003,0.1385186626455238,0.9254227212190161,0.8676157470941537,0.013782369738871925
2022-07-06,1696.4885363065523,1715.1824172929712,1670.5328185991998,1710.717529296875,479374,DEEPAKNTR,0.013782369738871925,-0.028829308178515145,-0.030665307376225637,1756.8562316894531,1890.7505688476563,2188.017022705078,0.9737379180149479,0.9047822370031046,0.7818575045553756,1734.7013210775813,1788.0404163977119,-53.33909532013058,-54.94264942945976,1.6035541093291812,34.34022892668516,0.018836024213702326,971588.0,0.49339226091717886,0.026099924697751187,0.9000016097184084,0.9291845580457464,0.8641388751674761,0.010210573591153738
2022-07-07,1726.0261025395482,1744.769098708519,1712.434983630543,1728.1849365234375,778495,DEEPAKNTR,0.010210573591153738,0.014224861430803593,-0.013472234591020649,1755.6762084960938,1881.033642578125,2184.8024957275393,0.9843414908514337,0.9187421731356199,0.7910028205766727,1733.6988003769438,1783.6066771477656,-49.90787677082176,-53.93569489773216,4.027818126910404,36.9369738992485,0.0189514512711466,885910.1,0.8787516927507656,0.01870986975677622,0.48710016819425334,0.9333571546810733,0.8609627855408233,0.00616078316112878
