trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol,return_1d,return_5d,return_20d,sma_20,sma_50,sma_200,price_sma20,price_sma50,price_sma200,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,volatility_20,volume_sma20,volume_ratio,daily_range,close_position,sma20_sma50,sma50_sma200,future_return_1d
2020-10-19,1135.0,1139.0,1115.3,1125.9,,12902123,,,,,1125.9,1.0,INFY,-0.0014190687361418375,-0.0054765480081263584,0.12348450830713986,1061.4675000000002,995.4169999999999,801.51825,1.0607013403613392,1.131083756857679,1.4047091254628328,1098.495880207821,1055.2109496353305,43.284930572490566,38.84965025763138,4.435280314859185,76.00180099054485,0.019212944631905152,14393354.35,0.8963944530414483,0.021049826805222528,0.44725738396624964,1.0663546031462194,1.2419143294616186,0.010302868816058242
2020-10-20,1118.9,1144.7,1110.0,1137.5,,10448776,,,,,1137.5,1.0,INFY,0.010302868816058242,-0.017533252720677073,0.1263491434795525,1067.8475,999.14,803.5215,1.0652270104111308,1.1384790920191366,1.415643514205905,1104.4965140220024,1061.3064348475282,43.19007917447425,39.71773604099996,3.47234313347429,77.65820060266898,0.019233620900704844,14208761.3,0.7353755742240529,0.030505494505494547,0.7925072046109499,1.0687666393098065,1.2434514820076377,0.009538461538461496
2020-10-21,1141.15,1154.35,1135.0,1148.35,,19811433,,,,,1148.35,1.0,INFY,0.009538461538461496,0.009982409850483709,0.13980148883374688,1074.8899999999999,1003.138,805.5897500000001,1.0683418768432118,1.1447577501799353,1.4254774219756392,1111.2432041724635,1067.754106340304,43.48909783215959,40.47200839923188,3.0170894329277047,78.89851485148517,0.01914013851898319,14568044.85,1.35992394339725,0.01685026342143067,0.6899224806201536,1.071527546558898,1.2452219010979222,-0.01680672268907557
2020-10-22,1142.0,1158.0,1123.8,1129.05,,11271335,,,,,1129.05,1.0,INFY,-0.01680672268907557,0.01876832844574783,0.1071831331208628,1080.355,1006.62,807.505,1.0450731472525234,1.121624843535793,1.3981956768069548,1113.9827112228536,1072.2945429076888,41.68816831516483,40.71524038241847,0.9729279327463587,72.07689258818868,0.019793185385624766,14457301.4,0.7796292467140513,0.030290952570745357,0.15350877192982434,1.0732500844410007,1.2465805165293093,-0.005801337407554952
2020-10-23,1133.0,1135.0,1120.15,1122.5,,9069862,,,,,1122.5,1.0,INFY,-0.005801337407554952,-0.0044345898004434225,0.15080992413368888,1087.7099999999998,1010.046,809.4232499999999,1.0319846282556933,1.1113355233326006,1.3867899149178136,1115.2930633424146,1076.0134656552673,39.279597687147316,40.42811184336424,-1.148514156216926,66.19841966637404,0.016409200133766563,14189422.9,0.639198793630994,0.013229398663697024,0.1582491582491531,1.0768915475136773,1.247858892118555,-0.008953229398663609
2020-10-26,1122.25,1129.6,1103.15,1112.45,,6309368,,,,,1112.45,1.0,INFY,-0.008953229398663609,-0.011945998756550336,0.09985664145533635,1092.76,1013.2230000000001,811.346,1.0180185951169516,1.0979320445745901,1.3711166382776276,1114.8556689820432,1078.7124681993216,36.14320078272158,39.57112963123571,-3.427928848514135,62.283362218370925,0.015189373436502103,13839337.4,0.45590101734205857,0.023776349498853717,0.35160680529300636,1.0784990076222114,1.2488173972633132,-0.019416602993393095
2020-10-27,1105.7,1109.7,1077.15,1090.85,,10172479,,,,,1090.85,1.0,INFY,-0.019416602993393095,-0.041010989010989096,0.07962193190815503,1096.7825,1015.89,813.20925,0.9945909968475973,1.0737875163649606,1.3414136644412247,1111.1624891386518,1079.6115446290014,31.550944509650435,37.96709260691866,-6.416148097268227,55.02897350993376,0.016095151122959162,13920235.05,0.7307691977514417,0.029839116285465424,0.4208909370199643,1.0796272234198585,1.2492356672037364,-0.013109043406517862
2020-10-28,1095.5,1104.75,1070.05,1076.55,,7608392,,,,,1076.55,1.0,INFY,-0.013109043406517862,-0.06252449166194973,0.06694747274529234,1100.16,1018.07,814.95425,0.9785394851657939,1.0574420226507018,1.3209943993788609,1105.8374908096284,1079.3847635453717,26.452727264256737,35.66421953838628,-9.21149227412954,46.251366120218556,0.0165082848997246,13865231.5,0.5487389085425656,0.03223259486322052,0.18731988472622454,1.0806329623699746,1.2492357699834071,-0.0015791184803307656
2020-10-29,1070.0,1082.0,1060.1,1074.85,,6935616,,,,,1074.85,1.0,INFY,-0.0015791184803307656,-0.04800495992205844,0.06605504587155964,1103.49,1020.3809999999999,816.63775,0.9740459813863287,1.0533810410033115,1.31618946099418,1101.0701845312242,1079.0488551346034,22.021329396620786,32.93564151003318,-10.914312113412393,42.65010351966872,0.01652031138440283,13809571.45,0.5022325294533307,0.020374936037586725,0.673515981735157,1.0814489881720653,1.249490364607808,-0.013257663860073543
2020-10-30,1072.0,1083.6,1052.35,1060.6,,8800386,,,,,1060.6,1.0,INFY,-0.013257663860073543,-0.055144766146993374,0.04220508033213766,1105.6374999999998,1022.49,818.073,0.9592655820736906,1.0372717581590039,1.2964613182442153,1094.8440022956513,1077.682273272781,17.161729022870304,29.780859012600608,-12.619129989730304,32.67086766844399,0.01685754087314678,13971422.85,0.6298847364712035,0.029464454082594762,0.264,1.0813186437031168,1.2498762335390607,0.011031491608523458
2020-11-02,1065.0,1079.95,1051.1,1072.3,,7183119,,,,,1072.3,1.0,INFY,0.011031491608523458,-0.03609150973077446,0.022504052636597605,1106.8175,1024.96,819.55625,0.9688137384889558,1.0461871682797377,1.3083909737739172,1091.3756942501664,1077.283586363686,14.092107886480335,26.643108787376555,-12.55100090089622,27.76911076443055,0.015655812006892405,13619953.35,0.5273967403126237,0.02690478410892487,0.73483535528596,1.0798640922572589,1.2506280075345653,-0.009092604681525729
