trade_date,open,high,low,close,volume,symbol,return_1d,return_5d,return_20d,sma_20,sma_50,sma_200,price_sma20,price_sma50,price_sma200,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,volatility_20,volume_sma20,volume_ratio,daily_range,close_position,sma20_sma50,sma50_sma200,future_return_1d
2022-06-23,7458.220503821712,7943.147893726574,7451.535799144791,7898.4560546875,1676430,MARUTI,0.0627348460450603,0.0558363541043323,0.05970530487517678,7513.328955078125,7354.945908203125,7312.7618481445315,1.0512591824359128,1.0738972323206601,1.0800920662679008,7511.016518701019,7455.333750771217,55.68276792980214,45.077814970277,10.604952959525143,73.62354511007157,0.01784274645268756,857848.15,1.9542269806142263,0.062241543306432105,0.9090912539955036,1.021534223208678,1.0057685537878274,0.011147476285602087
2022-06-24,7935.699960660525,8012.09659084739,7867.229294340338,7986.50390625,1156788,MARUTI,0.011147476285602087,0.08780406018118891,0.05290865407362588,7533.395043945313,7369.1719140625,7319.92451171875,1.0601467014090622,1.0837722337579685,1.0910636979198485,7584.168424477784,7494.67968821409,89.48873626369459,53.95999922896051,35.52873703473408,75.40381838243371,0.01761950619125813,894117.0,1.2937769889175579,0.01813901279052565,0.8233370455964562,1.0222851538541837,1.0067278565871693,0.010229231931798921
2022-06-27,8063.663657484465,8161.738009990146,8013.289633570171,8068.19970703125,921090,MARUTI,0.010229231931798921,0.10283315060317633,0.054261940148331966,7554.158203125,7387.874755859375,7327.573005371094,1.0680474898835983,1.0920866925406802,1.1010739437351602,7658.634775639855,7537.162652570916,121.47212306893925,67.46242399695626,54.00969907198299,75.14646532494267,0.01764591595215086,920695.65,1.0004283174358433,0.018399194592395324,0.3698933917992698,1.0225076158923436,1.0082294301870591,0.00484686425348646
2022-06-28,8036.208383208031,8155.244242405413,8003.548640921388,8107.30517578125,691242,MARUTI,0.00484686425348646,0.09113686939756671,0.06569503712977576,7579.147045898438,7405.3733984375,7335.2725903320315,1.0696856950636198,1.0947868175684232,1.105249338172758,7727.660991046224,7579.395432067978,148.2655589782462,83.62305099321425,64.64250798503194,74.2952023717957,0.0175296811987315,830557.5,0.8322626669435891,0.018710977099663365,0.6839785323029834,1.0234658859332606,1.0095566738989172,0.0022617767143240375
2022-06-29,8012.049654951538,8145.791329598121,7992.998057296163,8125.64208984375,655413,MARUTI,0.0022617767143240375,0.09330265757983214,0.07173100698495727,7606.339526367187,7425.88208984375,7343.521762695313,1.0682723354218429,1.0942325762156997,1.1065048014321366,7788.888852399689,7619.858147458775,169.0307049409139,100.70458178275419,68.3261231581597,73.9089128777035,0.01746123119499531,837227.95,0.7828369800602094,0.0188038398212166,0.8681274414062501,1.024301144879508,1.01121537183519,-0.004483720186776119
2022-06-30,8117.141500715698,8245.678450743691,8055.641843844582,8089.208984375,1130302,MARUTI,-0.004483720186776119,0.02415066037802327,0.06881039062253036,7632.378833007812,7441.23875,7351.48849609375,1.059854229115506,1.0870782750217496,1.100349811969813,7835.09194962666,7654.624876119236,180.46707350742327,116.657080127688,63.80999337973526,71.53184994448493,0.01751581318738459,876100.65,1.2901508519597604,0.02349260691202091,0.1766351287688434,1.0256865945885438,1.0122084464872576,-0.008045235321458066
2022-07-01,8059.845195322969,8069.39477493828,7931.498472262728,8024.12939453125,530569,MARUTI,-0.008045235321458066,0.004711133773039888,0.09053167395516382,7665.6854248046875,7451.23525390625,7358.788676757813,1.046759545932671,1.0768857942479624,1.0904144346303715,7864.174633458135,7681.995581186793,182.1790522713418,129.76147455641876,52.41757771492303,69.59319159827871,0.0161638509995161,873033.85,0.6077301584583462,0.017185204262724556,0.6717433351818585,1.0287804858645435,1.0125627438440274,0.004849569629980177
2022-07-04,8024.128436463934,8086.200696552137,7945.249291289951,8063.04296875,625431,MARUTI,0.004849569629980177,-0.0006391436092931801,0.09503859963331407,7700.675073242188,7461.526845703125,7366.184345703125,1.0470566401076893,1.0806156883819658,1.09460238711693,7894.769761964576,7710.221313598882,184.54844836569373,140.71886931827376,43.82957904741997,75.69344966250895,0.01613979451712618,873955.9,0.7156322189712319,0.01748116757016832,0.8357041722353833,1.0320508432770408,1.012943268254699,-0.011209940318941736
2022-07-05,8115.709236789409,8125.30637660588,7959.573629303963,7972.65673828125,610290,MARUTI,-0.011209940318941736,-0.016608285315598104,0.06905780382358384,7726.425512695312,7469.860771484375,7373.05861328125,1.031868711499432,1.0673099515745006,1.0813228480131611,7906.752373705603,7729.660974686465,177.0913990191375,147.99337525844652,29.098023760690978,69.31325174840512,0.01639359602966531,854910.8,0.713863949314946,0.020787643660379947,0.07894100104099314,1.034346656391556,1.0131291724751452,0.03369983870040194
2022-07-06,7999.682081743128,8262.725413706128,7992.997376649157,8241.333984375,976098,MARUTI,0.03369983870040194,0.014237877235062202,0.0934564108836613,7761.644360351563,7483.6751953125,7381.171459960938,1.0618025771025805,1.1012415383202452,1.116534689524556,7958.226467654741,7767.5626791078375,190.66378854690356,156.52745791613793,34.13633063076563,75.79761510433919,0.017684698816677346,863035.9,1.131005094921312,0.032728686589859994,0.9206925999813289,1.0371434031788516,1.0138871906590428,-0.0027403311669952357
2022-07-07,8303.358896460824,8308.1336859355,8189.910085057746,8218.75,547662,MARUTI,-0.0027403311669952357,0.01601405228560915,0.08531699322573139,7793.9482421875,7499.298330078125,7388.772687988281,1.0545040516837294,1.095935864697675,1.1123295230561077,7998.307011092474,7800.9839621368865,197.32304895558718,164.6865761240278,32.63647283155939,82.2907328033395,0.01776100886431953,856022.15,0.6397755011362731,0.014384620639118308,0.2439438041823407,1.0392903307936951,1.0149585928214468,-0.015157378802281407
2022-07-08,8231.736786747153,8267.022666333163,8064.6191605660915,8094.17529296875,686327,MARUTI,-0.015157378802281407,0.008729407888815821,0.06815923164621451,7819.772705078125,7510.52482421875,7396.056870117188,1.0350908649445052,1.0777110098708331,1.0943906239650778,8013.0559775349775,7822.701838494802,190.35413904017514,169.82008870725727,20.53405033291787,76.71957139791867,0.018273955582577033,868192.45,0.7905240364621923,0.025006068986780608,0.14602579283716566,1.0411752691186322,1.0154768893900823,0.0037399096608763394
2022-07-11,8071.016704041808,8141.01492148496,8037.019648167227,8124.44677734375,536114,MARUTI,0.0037399096608763394,0.007615463396602573,0.07669948429442108,7848.71025390625,7525.6102734375,7404.320356445312,1.0351314438318409,1.0795731485086215,1.0972575991085505,8030.1930236594035,7845.053315446576,185.13970821282783,172.8840126083714,12.255695604456434,75.29485432506377,0.018184378539123944,866706.85,0.6185643969469031,0.012800289812684723,0.8406836809727894,1.042933392605935,1.01638096559215,-0.010337783215648044
2022-07-12,8112.366140351874,8114.705973370164,7998.964906783094,8040.4580078125,424358,MARUTI,-0.010337783215648044,0.00850422534883477,0.0778388735134996,7877.743359375,7540.602138671875,7411.906059570312,1.0206549821458526,1.0662885880926036,1.084803010614334,8031.772251990649,7859.527737103311,172.24451488733848,172.75611306416482,-0.5115981768263396,70.91170294986023,0.01813968479373249,860251.65,0.49329518868112604,0.014394835029871506,0.3584993836063467,1.0447101192322694,1.0173634255570994,0.0024348907362898853
2022-07-13,8073.213876693396,8105.826061160897,8003.501951805933,8060.03564453125,413855,MARUTI,0.0024348907362898853,-0.02199866431666031,0.07471242066917405,7905.759448242187,7560.50919921875,7419.5146875,1.0195144055797658,1.0660704764917313,1.0863292255638182,8036.120466227665,7874.380174690566,161.74029153709944,170.55294875875177,-8.81265722165233,58.01746657602099,0.018139189790445053,850716.1,0.4864783915574185,0.012695242783993295,0.552496308853284,1.04566494662279,1.0190031986804056,0.015112177274630989
2022-07-14,8083.670849014458,8200.557133347398,8069.394042270615,8181.84033203125,606496,MARUTI,0.015112177274630989,-0.004490910171102702,0.0937181148091406,7940.81357421875,7582.666123046875,7427.228356933594,1.0303529047193647,1.0790189359865436,1.10160075048631,8058.5389071205245,7897.155001160246,161.38390596027875,168.71914019905716,-7.335234238778412,59.37828639372632,0.018245833791083382,815062.6,0.7441097162352929,0.016031001065040407,0.8573013096710933,1.0472323910033854,1.0209280984296347,0.024545533592549518
2022-07-15,8208.818070375513,8402.674523177542,8189.910090558314,8382.66796875,631246,MARUTI,0.024545533592549518,0.035642009882323356,0.14176370018688988,7992.854028320313,7611.29193359375,7433.791782226563,1.048770306457305,1.1013462683978326,1.127643632525746,8108.404916601983,7933.118924685413,175.2859919165703,170.0325105425598,5.253481374010505,63.54811389460496,0.017902803188858073,780742.1,0.8085205088850723,0.025381469648135823,0.9059685202961218,1.05013105502398,1.0238774714932926,-0.008344621971581034
