trade_date,open,high,low,close,volume,symbol,return_1d,return_5d,return_20d,sma_20,sma_50,sma_200,price_sma20,price_sma50,price_sma200,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,volatility_20,volume_sma20,volume_ratio,daily_range,close_position,sma20_sma50,sma50_sma200,future_return_1d
2022-06-23,29.007183345406247,29.245337554097684,28.48324299610163,28.67376708984375,921762,RVNL,0.0,0.0,-0.03215436691925555,29.893115329742432,30.807627906799315,30.87149888038635,0.9592097301854157,0.9307359585291337,0.928810330879694,29.11261779970868,29.735291627712037,-0.6226738280033572,-0.5006274034140766,-0.12204642458928061,27.272773605072132,0.0188076681659703,1432438.7,0.6434914108366383,0.026578110773104104,0.2500005960455976,0.9703153848837857,0.9979310698895927,0.0033222885283030745
2022-06-24,29.102444061469438,29.102444061469438,28.673767568847133,28.76902961730957,730577,RVNL,0.0033222885283030745,0.0,-0.042789129016411076,29.82881383895874,30.721892318725587,30.88050513267517,0.9644711242166455,0.9364341661914586,0.9316243207067422,29.059758079339588,29.663716663978523,-0.603958584638935,-0.5212936396590484,-0.08266494497988663,30.18874125776381,0.01847283604683102,1429199.55,0.5111791421988623,0.014900623980879133,0.22222363507665052,0.9709302255700409,0.9948636586976761,0.008278185540430583
2022-06-27,29.10244521757404,29.1977072698208,28.91192293005305,29.007184982299805,894930,RVNL,0.008278185540430583,0.041025659630534506,-0.058732456511433995,29.738315486907958,30.638062019348144,30.893623666763304,0.9754145286093953,0.9467695758296191,0.9389376039272139,29.051669910564236,29.61508468755788,-0.5634147769936426,-0.5297178671259672,-0.03369690986767537,33.63642055891731,0.01751033120793862,1414380.45,0.6327364041266267,0.009852191446434289,0.3333354526149786,0.9706330468333151,0.9917276895008563,-0.0016421491704529112
2022-06-28,29.05481290258625,29.05481290258625,28.81665869846669,28.959550857543945,471283,RVNL,-0.0016421491704529112,0.011647325639920991,-0.061728504159982656,29.64305362701416,30.562805252075194,30.896840591430664,0.9769422280824898,0.9475423024389298,0.9372981283262978,29.037497748561115,29.566526626075365,-0.52902887751425,-0.5295800692036238,0.0005511916893737867,35.576971577373584,0.017482458131095256,1335489.45,0.35289159341543286,0.008223684313719979,0.599998474121079,0.9699061778696318,0.9891886894270958,-0.009868377072075663
2022-06-29,28.769029136714806,28.911921298535187,28.57850504297269,28.67376708984375,698214,RVNL,-0.009868377072075663,0.0,-0.09880248064260955,29.485871696472167,30.47611717224121,30.900875902175905,0.9724578396396678,0.9408602456733199,0.927927324151503,28.98153918568152,29.50039629005821,-0.5188571043766892,-0.5274354762382368,0.00857837186154764,34.579485770786206,0.015596415139006873,1096114.5,0.636990022483965,0.011627919502791566,0.2857150642230865,0.9675074921725594,0.9862541524298738,-0.0033222885283029635
2022-06-30,28.673766607647,28.864288881212754,28.48324251710886,28.57850456237793,565456,RVNL,-0.0033222885283029635,-0.0033222885283029635,-0.09774430159062408,29.3310715675354,30.37323444366455,30.90668221473694,0.9743423282908479,0.9409108080136991,0.9246707350797787,28.91953385901943,29.432108013933746,-0.512574154914315,-0.5244632119734525,0.011889057059137453,30.769236692952163,0.015600892116091721,1043754.5,0.5417519158001235,0.013333320617675781,0.25000119209403177,0.9656881166850332,0.9827400506024542,0.0
2022-07-01,28.673766607647,28.81665876706441,28.38798047183979,28.57850456237793,763473,RVNL,0.0,-0.0066225749518157295,-0.07975451795500332,29.207231521606445,30.259873123168944,30.913836908340453,0.9784735859417759,0.9444357035488147,0.9244567294287414,28.867067813382278,29.368878128633316,-0.5018103152510385,-0.5199326326289697,0.01812231737793124,42.66669941407063,0.015250685653837193,1016664.2,0.7509588711789006,0.015000025431315022,0.4444453863434083,0.9652132843625003,0.9788455963227563,0.008333373933909538
2022-07-04,28.769029811301998,28.91192197647296,28.530875597026224,28.816659927368164,725497,RVNL,0.008333373933909538,-0.006568202155703751,-0.06346734985981362,29.109588527679442,30.154132652282716,30.92173292160034,0.9899370408471168,0.9556454586063744,0.9319225413540235,28.85931275399549,29.32797307668775,-0.4686603226922621,-0.5096781706416282,0.04101784794936614,41.89193430558186,0.015440872612891374,1009714.15,0.7185172159863265,0.013223127885298183,0.7499988079059743,0.9653598351957837,0.9751760268008324,0.0
2022-07-05,28.91192197647296,29.15007619074873,28.578505713092397,28.816659927368164,712911,RVNL,0.0,-0.004934155604784163,-0.062015435535057395,29.014326953887938,30.067444458007813,30.930752601623535,0.9931872613542295,0.958400703711734,0.9316507845287798,28.85275078066821,29.290098028590005,-0.4373472479217959,-0.4952119860976618,0.057864738175865904,44.28575433008345,0.0154532442863155,1008135.7,0.7071577764779087,0.019834723354370906,0.41666640175730163,0.9649748249941674,0.9720890029824102,0.004958622218395048
2022-07-06,28.864288812501645,29.05481290258625,28.57850449434713,28.959550857543945,737910,RVNL,0.004958622218395048,0.009966732547026291,-0.04702186349350934,28.942880821228027,29.98456676483154,30.939587821960448,1.000575963271206,0.9658152170305885,0.9360031240296258,28.869181561726016,29.26561305295696,-0.39643149123094545,-0.4754558871243186,0.07902439589337312,54.83868259226511,0.015439163677707193,991978.9,0.7438767094743648,0.016447368627439958,0.7999992370605394,0.965259263147824,0.9691327155802946,0.006578940002219591
